E번호,단어(Word),출현횟수(Count),절수(Verses),뜻(Meaning),구절주소(References)
E00076,abominable,23,23,,"Lev 7:21; Lev 11:43; Lev 18:30; Lev 19:7; Lev 20:25; Deu 14:3; 1Ch 21:6; 2Ch 15:8; Job 15:16; Psa 14:1; Psa 53:1; Isa 14:19; Isa 65:4; Jer 16:18; Jer 44:4; Eze 4:14; Eze 8:10; Eze 16:52; Mic 6:10; Nah 3:6; Tit 1:16; 1Pe 4:3; Rev 21:8"
E00077,abominably,1,1,,"1Ki 21:26"
E00078,abomination,76,69,,"Gen 43:32; Gen 46:34; Exo 8:26; Lev 7:18; Lev 11:10; Lev 11:11; Lev 11:12; Lev 11:13; Lev 11:20; Lev 11:23; Lev 11:41; Lev 11:42; Lev 18:22; Lev 20:13; Deu 7:25; Deu 7:26; Deu 12:31; Deu 13:14; Deu 17:1; Deu 17:4; Deu 18:12; Deu 22:5; Deu 23:18; Deu 24:4; Deu 25:16; Deu 27:15; 1Sa 13:4; 1Ki 11:5; 1Ki 11:7; 2Ki 23:13; Psa 88:8; Pro 3:32; Pro 6:16; Pro 8:7; Pro 11:1; Pro 11:20; Pro 12:22; Pro 13:19; Pro 15:8; Pro 15:9; Pro 15:26; Pro 16:5; Pro 16:12; Pro 17:15; Pro 20:10; Pro 20:23; Pro 21:27; Pro 24:9; Pro 28:9; Pro 29:27; Isa 1:13; Isa 41:24; Isa 44:19; Isa 66:17; Jer 2:7; Jer 6:15; Jer 8:12; Jer 32:35; Eze 16:50; Eze 18:12; Eze 22:11; Eze 33:26; Dan 11:31; Dan 12:11; Mal 2:11; Mat 24:15; Mar 13:14; Luk 16:15; Rev 21:27"
E00079,abominations,76,74,,"Lev 18:26; Lev 18:27; Lev 18:29; Deu 18:9; Deu 18:12; Deu 20:18; Deu 29:17; Deu 32:16; 1Ki 14:24; 2Ki 16:3; 2Ki 21:2; 2Ki 21:11; 2Ki 23:24; 2Ch 28:3; 2Ch 33:2; 2Ch 34:33; 2Ch 36:8; 2Ch 36:14; Ezr 9:1; Ezr 9:11; Ezr 9:14; Pro 26:25; Isa 66:3; Jer 4:1; Jer 7:10; Jer 7:30; Jer 13:27; Jer 32:34; Jer 44:22; Eze 5:9; Eze 5:11; Eze 6:9; Eze 6:11; Eze 7:3; Eze 7:4; Eze 7:8; Eze 7:9; Eze 7:20; Eze 8:6; Eze 8:9; Eze 8:13; Eze 8:15; Eze 8:17; Eze 9:4; Eze 11:18; Eze 11:21; Eze 12:16; Eze 14:6; Eze 16:2; Eze 16:22; Eze 16:36; Eze 16:43; Eze 16:47; Eze 16:51; Eze 16:58; Eze 18:13; Eze 18:24; Eze 20:4; Eze 20:7; Eze 20:8; Eze 20:30; Eze 22:2; Eze 23:36; Eze 33:29; Eze 36:31; Eze 43:8; Eze 44:6; Eze 44:7; Eze 44:13; Dan 9:27; Hos 9:10; Zec 9:7; Rev 17:4; Rev 17:5"
E00080,abound,19,15,,"Pro 28:20; Mat 24:12; Rom 5:20; Rom 6:1; Rom 15:13; 2Co 1:5; 2Co 8:7; 2Co 9:8; Phi 1:9; Phi 4:12; Phi 4:17; Phi 4:18; 1Th 3:12; 1Th 4:1; 2Pe 1:8"
E00081,abounded,5,5,,"Rom 3:7; Rom 5:15; Rom 5:20; 2Co 8:2; Eph 1:8"
E00082,aboundeth,3,3,,"Pro 29:22; 2Co 1:5; 2Th 1:3"
E00083,abounding,3,3,,"Pro 8:24; 1Co 15:58; Col 2:7"
E00084,about,632,594,,"Gen 23:17; Gen 35:5; Gen 37:7; Gen 38:24; Gen 39:11; Gen 41:25; Gen 41:28; Gen 41:42; Gen 41:48; Gen 42:24; Gen 46:34; Exo 7:24; Exo 9:18; Exo 11:4; Exo 12:37; Exo 13:18; Exo 16:13; Exo 19:12; Exo 19:23; Exo 25:11; Exo 25:24; Exo 25:25; Exo 27:17; Exo 28:32; Exo 28:33; Exo 28:34; Exo 29:16; Exo 29:20; Exo 30:3; Exo 32:28; Exo 37:2; Exo 37:11; Exo 37:12; Exo 37:26; Exo 38:16; Exo 38:20; Exo 38:31; Exo 39:23; Exo 39:25; Exo 39:26; Exo 40:8; Exo 40:33; Lev 1:5; Lev 1:11; Lev 3:2; Lev 3:8; Lev 3:13; Lev 6:5; Lev 7:2; Lev 8:15; Lev 8:19; Lev 8:24; Lev 9:12; Lev 9:18; Lev 14:41; Lev 16:18; Lev 25:31; Lev 25:44; Num 1:50; Num 1:53; Num 2:2; Num 3:26; Num 3:37; Num 4:4; Num 4:14; Num 4:26; Num 4:32; Num 11:8; Num 11:24; Num 11:31; Num 11:32; Num 16:24; Num 16:34; Num 16:49; Num 22:4; Num 32:33; Num 34:12; Num 35:2; Num 35:4; Deu 6:14; Deu 12:10; Deu 13:7; Deu 17:14; Deu 21:2; Deu 25:19; Deu 31:21; Deu 32:10; Jos 2:5; Jos 3:4; Jos 4:13; Jos 6:3; Jos 6:11; Jos 6:15; Jos 7:3; Jos 7:4; Jos 7:5; Jos 8:12; Jos 10:13; Jos 11:6; Jos 15:12"
E00085,above,223,208,,"Gen 1:7; Gen 1:20; Gen 3:14; Gen 6:16; Gen 7:17; Gen 27:39; Gen 28:13; Gen 48:22; Gen 49:25; Gen 49:26; Exo 18:11; Exo 19:5; Exo 20:4; Exo 25:21; Exo 25:22; Exo 26:14; Exo 26:24; Exo 28:27; Exo 28:28; Exo 29:13; Exo 29:22; Exo 30:14; Exo 36:19; Exo 39:20; Exo 39:21; Exo 40:19; Exo 40:20; Lev 3:4; Lev 3:10; Lev 3:15; Lev 4:9; Lev 7:4; Lev 8:16; Lev 8:25; Lev 9:10; Lev 9:19; Lev 11:21; Lev 27:7; Num 3:49; Num 4:25; Num 12:3; Num 16:3; Deu 4:39; Deu 5:8; Deu 7:6; Deu 7:14; Deu 10:15; Deu 14:2; Deu 17:20; Deu 25:3; Deu 26:19; Deu 28:1; Deu 28:13; Deu 28:43; Deu 30:5; Jos 2:11; Jos 3:13; Jos 3:16; Jdg 5:24; 1Sa 2:29; 2Sa 22:17; 2Sa 22:49; 1Ki 7:3; 1Ki 7:11; 1Ki 7:20; 1Ki 7:25; 1Ki 7:29; 1Ki 7:31; 1Ki 8:7; 1Ki 8:23; 1Ki 14:9; 1Ki 14:22; 1Ki 16:30; 2Ki 21:11; 2Ki 25:28; 1Ch 5:2; 1Ch 16:25; 1Ch 23:27; 1Ch 27:6; 1Ch 29:3; 1Ch 29:11; 2Ch 2:5; 2Ch 4:4; 2Ch 5:8; 2Ch 11:21; 2Ch 24:20; 2Ch 25:5; 2Ch 34:4; Neh 3:28; Neh 7:2; Neh 8:5; Neh 9:5; Neh 12:37; Neh 12:39; Est 2:17; Est 3:1; Est 5:11; Job 3:4; Job 18:16; Job 28:18"
